Категория,Тезис,Группа,Тип,Метрика,Описание,Методика расчёта,Эталон,Трактовка отклонения,Источник,Источник трактовки
3. Разработка и поставка,"Показывают, как быстро ИТ превращает идеи в работающий результат.",8. Скорость поставки (DORA),Операционный,Время выполнения заявок на изменение,Время от коммита кода до его деплоя в продуктив. Отражает эффективность CI/CD-конвейера и процессов согласования.,Среднее (дата деплоя − дата коммита) по выборке изменений,Elite: <1 часа;  High: <1 дня;  Low: >6 месяцев,Превышение эталона означает деградацию процесса или рост нагрузки.,DORA / Atlassian 2025,DORA / Atlassian 2025
3. Разработка и поставка,"Показывают, как быстро ИТ превращает идеи в работающий результат.",8. Скорость поставки (DORA),Операционный,"Доля изменений, вызвавших сбой","Процент деплоев, которые привели к инциденту, откату или требовали экстренного исправления в продуктивной среде.",Число сбойных деплоев / Общее число деплоев × 100%,Elite: 0–15%,проблемное: >30%,DORA / Atlassian 2025,DORA / Atlassian 2025
3. Разработка и поставка,"Показывают, как быстро ИТ превращает идеи в работающий результат.",8. Скорость поставки (DORA),Операционный,Среднее время восстановления после сбоя (MTTR),Среднее время от момента обнаружения инцидента до полного восстановления сервиса в продуктивной среде.,Суммарное время простоя / Число инцидентов за период,Elite: <1 часа;  High: <1 дня;  Low: >1 недели,Превышение эталона означает деградацию процесса или рост нагрузки.,DORA / Atlassian 2025,DORA / Atlassian 2025
3. Разработка и поставка,"Показывают, как быстро ИТ превращает идеи в работающий результат.",8. Скорость поставки (DORA),Операционный,Частота деплоев,Как часто команда выпускает изменения в продуктивную среду. Ключевой индикатор зрелости DevOps.,Число деплоев в продуктив / единица времени (день/неделя/месяц),Elite: несколько раз/день;  High: 1 раз/неделю;  Low: реже 1 раза/6 мес.,Отклонение от эталона требует анализа и корректирующих мер.,DORA / Atlassian 2025,DORA / Atlassian 2025
3. Разработка и поставка,"Показывают, как быстро ИТ превращает идеи в работающий результат.",9. Надёжность и доступность,Операционный,Доступность систем,"Процент времени, когда ИТ-система функционирует без перебоев. Рассчитывается за скользящий месяц/год.",(Общее время − Время простоя) / Общее время × 100%,"≥99,9% для критичных систем (≤8,7 ч простоя в год)",Отклонение от эталона требует анализа и корректирующих мер.,NinjaOne 2025,NinjaOne 2025
3. Разработка и поставка,"Показывают, как быстро ИТ превращает идеи в работающий результат.",9. Надёжность и доступность,Операционный,Среднее время между отказами (MTBF),Среднее время работы системы без сбоя. Чем больше — тем надёжнее система.,Суммарное время работы без сбоев / Число отказов за период,Динамика роста; индивидуально по системе,Превышение эталона означает деградацию процесса или рост нагрузки.,Giva 2022,Giva 2022
3. Разработка и поставка,"Показывают, как быстро ИТ превращает идеи в работающий результат.",9. Надёжность и доступность,Финансовый,Стоимость одной минуты простоя,Финансовые потери компании за каждую минуту недоступности критической ИТ-системы. Обосновывает инвестиции в отказоустойчивость.,Выручка / Рабочее время в год (минуты) × Коэффициент влияния простоя,В среднем $8 600/мин для предприятий,Рост выше эталона означает неэффективность и требует финансового аудита.,DataStackHub 2025,DataStackHub 2025
3. Разработка и поставка,"Показывают, как быстро ИТ превращает идеи в работающий результат.",9. Надёжность и доступность,Операционный,Число инцидентов в продуктивной среде,"Общее количество инцидентов, вызвавших деградацию или недоступность ИТ-сервисов, за отчётный период.",Подсчёт инцидентов P1/P2 за период (с разбивкой по severity),<1 P1 в месяц,Отклонение от эталона требует анализа и корректирующих мер.,NinjaOne 2025,NinjaOne 2025
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,15. Рабочие места,Операционный,Время входа в систему,Время входа пользователя в рабочую среду.,T_ready − T_login_start,≤30 сек,Рост относительно базовый уровень — ухудшение responsiveness рабочего места,ManageEngine / Desktop Central 2025,ManageEngine / Desktop Central 2025
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,15. Рабочие места,Операционный,Время загрузки рабочей станции,Время загрузки устройства до готовности к работе.,Среднее/median/p95 время загрузки,≤45 сек,Выше порога — заметная деградация пользовательского опыта и повод для remediation,ManageEngine 2025,ManageEngine 2025
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,15. Рабочие места,Операционный,Загрузка оперативной памяти,Процент используемой оперативной памяти от общего объёма на рабочей станции сотрудника.,"Среднее, медиана или p95 использования памяти за период",60–80%,"Устойчивый рост выше базового уровня указывает на риск замедления, зависаний и падений приложений",ManageEngine / Omnissa 2025,ManageEngine / Omnissa 2025
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,15. Рабочие места,Операционный,Загрузка процессора,Средняя загрузка процессора рабочей станции — индикатор производительности устройства.,"Среднее, медиана или p95 использования CPU за период",40–70%,Устойчивый рост выше базового уровня означает деградацию производительности и цифрового опыта,ManageEngine / Omnissa 2025,ManageEngine / Omnissa 2025
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,15. Рабочие места,Операционный,Заполнение диска,Процент использованного дискового пространства на конечном устройстве пользователя.,(Занятое место) / (Общий объём) × 100%,≤80%,"Выше порога — риск замедления, ошибок приложений и нехватки рабочего пространства",ManageEngine 2025,ManageEngine 2025
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,15. Рабочие места,Операционный,Интегральная оценка цифрового опыта сотрудника,Сводная оценка цифрового опыта пользователя.,Взвешенная сумма telemetry и user sentiment,Организационный baseline DEX score,Ниже базовый уровень — деградация цифрового опыта; выше базовый уровень — состояние в норме,ManageEngine 2025,ManageEngine 2025
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,15. Рабочие места,Операционный,Качество сетевого доступа,"Стабильность Wi‑Fi, VPN и отклика облачных/SaaS-сервисов.","Комбинированный индекс из потерь, задержки, доступности и времени отклика",Потери <0.1%; задержка ≤20 мс,"Ухудшение относительно базового уровня означает сетевое трение, влияющее на продуктивность",Omnissa 2025,Omnissa 2025
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,15. Рабочие места,Операционный,Нагрузка на поддержку / Доля самообслуживания,"Нагрузку на поддержку и долю обращений, закрытых без инженера.",Ticket volume; (самообслуживание resolved) / (All tickets) × 100%,≥50% запросов — самообслуживание,Рост ticket volume или снижение самообслуживание обычно означает рост цифрового трения в рабочих местах,Digital Workplace Group 2025,Digital Workplace Group 2025
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,15. Рабочие места,Операционный,Отклонение конфигурации от эталона,Отклонение конфигурации устройства от целевого стандарта.,(Устройства с отклонениями) / (Все устройства) × 100%,<10%,"Рост указывает на потерю управляемости, рост вариативности и сложности поддержки",Omnissa 2025,Omnissa 2025
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,15. Рабочие места,Операционный,Состояние аккумулятора устройства,Сохранность ёмкости и пригодность батареи к повседневной работе.,(Текущая ёмкость) / (Паспортная ёмкость) × 100% или vendor health score,≥80%,Снижение ниже порога означает рост мобильных инцидентов и ухудшение пользовательского опыта,Omnissa / ManageEngine 2025,Omnissa / ManageEngine 2025
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,15. Рабочие места,Операционный,Удовлетворённость пользователей качеством рабочего места,Субъективная оценка цифрового опыта сотрудниками.,"Средний балл опроса, индекс удовлетворённости или индекс тональности",≥4 из 5,"Снижение означает, что технически «нормальная» среда уже воспринимается пользователями как неудобная",ManageEngine 2025,ManageEngine 2025
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,15. Рабочие места,Операционный,Частота сбоев приложений,Частота падений приложений на устройстве/пуле.,"(Число crash) / (Устройство, пользователь или приложение, период)",<1 раз/день на устройство,Рост частоты падений означает проблему надёжности приложений и прямое влияние на продуктивность,ManageEngine / Desktop Central 2025,ManageEngine / Desktop Central 2025
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,26. Сетевая инфраструктура и телеком,Операционный,Вариативность задержки сети (джиттер),"Вариативность задержки пакетов, определяющая стабильность передачи голоса и видео.",Стандартное отклонение RTT по потоку,<30 мс,Высокий джиттер >50 мс критичен для VoIP и видеоконференций.,Mushroom Networks 2024,Mushroom Networks 2024
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,26. Сетевая инфраструктура и телеком,Операционный,Доступность сети,"Процент времени, когда сеть доступна и функционирует без перебоев.",(Время работы сети − Время простоя) / Время работы × 100%,≥99.9%,Снижение ниже порога — прямое влияние на работу всех ИТ-сервисов.,NetworkComputing 2024,NetworkComputing 2024
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,26. Сетевая инфраструктура и телеком,Операционный,Задержка передачи данных в сети,Среднее время прохождения пакета между двумя узлами сети (round-trip time).,Среднее RTT по ключевым маршрутам (мс),≤5 мс (LAN); ≤20 мс (WAN),Рост задержки сверх порога ухудшает работу приложений реального времени.,NetworkComputing 2024 / LinkedIn 2025,NetworkComputing 2024
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,26. Сетевая инфраструктура и телеком,Операционный,Использование полосы пропускания,Средняя загрузка пропускной способности ключевых сетевых каналов.,Фактический трафик / Номинальная пропускная способность × 100%,40–70%,Устойчивая нагрузка >85% создаёт риск деградации; <20% означает избыточные затраты.,SolarWinds / Mushroom Networks 2024,SolarWinds
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,26. Сетевая инфраструктура и телеком,Операционный,Охват сетевой инфраструктуры мониторингом,"Доля сетевых устройств и каналов, охваченных системой непрерывного мониторинга.",(Устройства под мониторингом / Все сетевые устройства) × 100%,≥99%,"Неохваченные устройства — слепые зоны, в которых инциденты могут остаться незамеченными.",Mushroom Networks 2024,Mushroom Networks 2024
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,26. Сетевая инфраструктура и телеком,Операционный,Потери пакетов в сети,"Доля сетевых пакетов, не достигших получателя, от общего числа отправленных.",(Потерянные пакеты / Отправленные пакеты) × 100%,<0.1%,Потери >1% приводят к видимой деградации качества приложений и коммуникаций.,NetworkComputing 2024 / Mushroom Networks 2024,NetworkComputing 2024
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,26. Сетевая инфраструктура и телеком,Операционный,Среднее время восстановления после сетевого сбоя (MTTR),Среднее время от обнаружения сетевого инцидента до полного восстановления связи.,Среднее (дата восстановления − дата обнаружения) по сетевым инцидентам,≤2 часа,Высокое MTTR увеличивает период недоступности зависимых сервисов.,NetworkComputing 2024,NetworkComputing 2024
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,26. Сетевая инфраструктура и телеком,Финансовый,Стоимость одного Мбит/с пропускной способности,Удельная стоимость сетевой пропускной способности с учётом всех затрат на телеком-инфраструктуру.,Затраты на телеком / Суммарная номинальная пропускная способность (Мбит/с),По benchmark рынка и географии,Высокая стоимость Мбит/с по сравнению с рыночными предложениями — повод для пересмотра контрактов.,FinModelsLab 2025,FinModelsLab 2025
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,7. Использование инфраструктуры,Операционный,Загрузка CPU серверов,Средняя фактическая загрузка процессора серверов.,Суммарное потреблённое время CPU / Суммарно провизионированный CPU × 100%,60–80%,"Нижняя граница — неэффективность закупок, верхняя — риск деградации.",Harness 2025 / SolarWinds,Harness 2025 / SolarWinds
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,7. Использование инфраструктуры,Операционный,Загрузка оперативной памяти серверов,Процент используемой оперативной памяти от общего объёма провизионированной RAM.,Используемая RAM / Провизионированная RAM × 100%,70–85%,Отклонение от эталона требует анализа и корректирующих мер.,SolarWinds,SolarWinds
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,7. Использование инфраструктуры,Операционный,Загрузка сетевых каналов,Средняя загрузка пропускной способности сети.,Фактический трафик / Номинальная пропускная способность × 100%,60–80%,Выше 85% — риск деградации; ниже 40% — избыточные каналы.,SolarWinds,SolarWinds
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,7. Использование инфраструктуры,Операционный,Использование хранилищ,Процент используемого дискового пространства.,Использованное пространство / Общий объём хранилищ × 100%,70–80% (с 20–30% буфером роста),Слишком высокий показатель — риск переполнения; слишком низкий — избыточные закупки.,Inventive HQ 2025,Inventive HQ 2025
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,7. Использование инфраструктуры,Финансовый,Стоимость одного ГБ хранилища,Удельная стоимость хранения одного гигабайта данных с учётом всех затрат на инфраструктуру хранения.,Полные затраты на хранилище / Общий объём в ГБ,По benchmark организации и классу хранилища,Рост стоимости без увеличения надёжности или скорости — сигнал неэффективности закупок.,Inventive HQ 2025,Inventive HQ 2025
4. Инфраструктура и эксплуатация,Показывают надёжность и эффективность технологической платформы.,7. Использование инфраструктуры,Финансовый,Стоимость одного вычислительного ядра,Удельная стоимость одного физического или виртуального вычислительного ядра с учётом полных затрат.,Полные затраты на вычислительную инфраструктуру / Количество ядер,По benchmark организации,Высокая стоимость ядра по сравнению с рынком — повод рассмотреть оптимизацию или облако.,Harness 2025,Harness 2025
5. Данные и ИИ,Показывают готовность данных и ИИ-инициатив к управлению и масштабированию.,12. ИИ,Операционный,Задержка ответа сервиса ИИ (95-й перцентиль),Время ответа сервиса ИИ для 95% запросов.,p95(T_ответа),Целевой порог задаётся через SLO по сценарию использования,Выше порога — деградация пользовательского опыта и риск ускоренного расходования бюджета ошибок,Nobl9 / Google SRE,Nobl9 / Google SRE
5. Данные и ИИ,Показывают готовность данных и ИИ-инициатив к управлению и масштабированию.,12. ИИ,Операционный,Использование GPU,"Доля оплаченного GPU-времени, занятого полезной нагрузкой.",(Активное GPU-время) / (Оплаченное GPU-время) × 100%,70–85%,Низкое значение — простой дорогого ресурса; слишком высокое устойчивое значение — риск дефицита ёмкости и деградации SLA,Cloudlatitude 2025,Cloudlatitude / CloudCostChefs 2025
5. Данные и ИИ,Показывают готовность данных и ИИ-инициатив к управлению и масштабированию.,12. ИИ,Операционный,Соблюдение SLO по задержки/доступности,"Доля запросов к сервису ИИ, выполненных в рамках целевых показателей задержки и доступности.",(Успешные запросы) / (Все запросы) × 100% или p95/p99 vs SLO,≥99.9%,"Скорость расходования > 1 означает, что бюджет ошибок выгорает быстрее допустимого; при > 3 обычно останавливают рискованные релизы",Nobl9 / Google SRE,Nobl9 / Google SRE
5. Данные и ИИ,Показывают готовность данных и ИИ-инициатив к управлению и масштабированию.,12. ИИ,Финансовый,Стоимость 1 млн токенов,Себестоимость токенов по входных/выходных.,(Затраты на токены) / 1 000 000,Целевой коридор по классу модели,"Рост без прироста качества обычно указывает на неверный выбор модели, разрастание промптов или слабый кэш/повторное использование",Cloudlatitude / CloudCostChefs 2025,Cloudlatitude / CloudCostChefs 2025
5. Данные и ИИ,Показывают готовность данных и ИИ-инициатив к управлению и масштабированию.,12. ИИ,Финансовый,Стоимость одного вывода-запроса,"Полная себестоимость одного ИИ-запроса, включая вычислений, хранение и накладные расходы.",(Затраты на модели + вычислений + storage + network) / Количество запросов,Целевой chargeback baseline,Выше базовый уровень — ухудшение юнит-экономика; ниже базовый уровень — эффект оптимизации или удешевления модели,Cloudlatitude / CloudCostChefs 2025,Cloudlatitude / CloudCostChefs 2025
5. Данные и ИИ,Показывают готовность данных и ИИ-инициатив к управлению и масштабированию.,12. ИИ,Операционный,Точность ответов модели,Доля корректных ответов на контрольной выборке или в продуктивной проверке.,(Корректные ответы) / (Все проверенные ответы) × 100%,≥90% на контрольной выборке,Ниже базового уровня — деградация качества модели или дрейф данных/промптов,Dev.to 2025,Dev.to 2025
5. Данные и ИИ,Показывают готовность данных и ИИ-инициатив к управлению и масштабированию.,12. ИИ,Финансовый,Точность прогноза ИИ-расходов,Насколько факт расходов совпадает с планом.,|(Факт − План) / План| × 100%,Абсолютная ошибка не должна выходить за 25%,Отклонение свыше 25% означает слабый финансовое управление и повышает риск давления на маржу,Mavvrik AI 2025,Mavvrik AI 2025
5. Данные и ИИ,Показывают готовность данных и ИИ-инициатив к управлению и масштабированию.,13. Данные,Операционный,Актуальность данных,Актуальность данных относительно источника.,T_now − T_last_update,Максимально допустимая задержка задаётся по источнику и процессу,Превышение порога означает устаревание данных и запаздывание решений/операций,Atlan 2025,Atlan 2025
5. Данные и ИИ,Показывают готовность данных и ИИ-инициатив к управлению и масштабированию.,13. Данные,Операционный,Время решения инцидентов качества данных,Скорость устранения инцидентов качества данных.,(Сумма времени решения) / (Число инцидентов),SLA data steward / data owner,Рост метрики означает слабую операционную дисциплину governance-процесса,ITGov-Docs 2025,ITGov-Docs 2025
5. Данные и ИИ,Показывают готовность данных и ИИ-инициатив к управлению и масштабированию.,13. Данные,Операционный,Доступность данных,"Возможность получить данные вовремя для процессов, аналитики и ИИ.",(Успешные обращения) / (Все обращения) × 100% или доля времени доступности,"Порог задаётся по SLA/SLO для витрины, API или набора данных","Снижение означает риск срыва отчётности, аналитики и автоматизированных процессов",Informatica / Atlan 2025,Informatica / Atlan 2025
5. Данные и ИИ,Показывают готовность данных и ИИ-инициатив к управлению и масштабированию.,13. Данные,Операционный,Интегральная оценка качества данных,"Взвешенный сводный балл по всем измерениям качества данных: полнота, точность, актуальность, уникальность, согласованность.","Взвешенная сумма accuracy, completeness, consistency, timeliness, validity, uniqueness",≥80 из 100,Ниже базовый уровень — падение доверия к данным и сигнал на remediation у data owner/steward,ITGov-Docs / Atlan 2025,ITGov-Docs / Atlan 2025
5. Данные и ИИ,Показывают готовность данных и ИИ-инициатив к управлению и масштабированию.,13. Данные,Операционный,Корректность формата данных,"Доля записей, соответствующих формату и правилам.",(Валидные записи) / (Все записи) × 100%,≥95%,"Рост невалидных записей указывает на проблемы ввода, интеграции или контроля правил",Atlan 2025,Atlan 2025
5. Данные и ИИ,Показывают готовность данных и ИИ-инициатив к управлению и масштабированию.,13. Данные,Операционный,Охват governed assets,"Доля критичных data assets, покрытых governance.",(Governed assets) / (Critical assets) × 100%,Целевой охват задаётся программой data governance,"Низкий охват означает слепые зоны в качестве, доступе и комплаенсе",Atlan 2025,Atlan 2025
5. Данные и ИИ,Показывают готовность данных и ИИ-инициатив к управлению и масштабированию.,13. Данные,Операционный,Полнота данных,"Доля обязательных полей данных, заполненных корректными значениями в контролируемом наборе.",(Заполненные обязательные поля) / (Все обязательные поля) × 100%,≥95%,"Ниже порога — риск ошибок в отчётности, процессах и аналитике",Atlan 2025,ITGov-Docs / Atlan 2025
5. Данные и ИИ,Показывают готовность данных и ИИ-инициатив к управлению и масштабированию.,13. Данные,Операционный,Согласованность данных,"Степень совпадения значений между системами, полями и версиями данных.",(Согласованные записи) / (Проверенные записи) × 100%,≥95%,"Снижение указывает на расхождения между источниками, правилами преобразования или мастер-данными",Atlan 2025,Atlan 2025
5. Данные и ИИ,Показывают готовность данных и ИИ-инициатив к управлению и масштабированию.,13. Данные,Операционный,Точность данных,Степень соответствия данных реальным значениям или доверенному источнику.,(Записи без ошибок) / (Проверенные записи) × 100%,≥95%,"Снижение означает рост ошибок в источнике, интеграции или ручном вводе",Dataversity / Actian 2025,Dataversity / Actian 2025
5. Данные и ИИ,Показывают готовность данных и ИИ-инициатив к управлению и масштабированию.,13. Данные,Операционный,Уникальность данных,"Процент дублирующихся записей в наборе данных, влияющих на достоверность отчётности и аналитики.",(Дублирующиеся записи) / (Все записи) × 100%,<5%,"Рост дублей обычно означает ошибки MDM, интеграции или дедупликации",Atlan 2025,Atlan 2025
6. Персонал и поддержка,"Показывают устойчивость, результативность и развитие ИТ-команды.",16. Персонал (HR),Операционный,Время выхода нового сотрудника на продуктивность,Среднее время от первого рабочего дня нового сотрудника до достижения полной продуктивности.,Дата достижения целевой продуктивности − Дата первого рабочего дня,60–90 дней,Длительный период >120 дней означает проблемы с онбордингом или обучением.,Peoplebox 2025,Peoplebox 2025
6. Персонал и поддержка,"Показывают устойчивость, результативность и развитие ИТ-команды.",16. Персонал (HR),Операционный,Время закрытия вакансии,Среднее количество дней от публикации вакансии до принятия оффера кандидатом.,Среднее (дата принятия оффера − дата публикации вакансии),30–45 дней,Длительный процесс >60 дней означает неэффективность найма или завышенные требования.,Peoplebox 2025,Peoplebox 2025
6. Персонал и поддержка,"Показывают устойчивость, результативность и развитие ИТ-команды.",16. Персонал (HR),Операционный,Индекс вовлечённости сотрудников ИТ,Интегральная оценка вовлеченности ИТ-персонала на основе опросов.,Средний балл по шкале удовлетворённости и вовлеченности,≥70%,Низкая вовлеченность <60% коррелирует с ростом текучести и снижением продуктивности.,Agile HR Analytics 2026,Agile HR Analytics 2026
6. Персонал и поддержка,"Показывают устойчивость, результативность и развитие ИТ-команды.",16. Персонал (HR),Финансовый,Стоимость найма одного ИТ-специалиста,"Полные затраты на найм одного ИТ-сотрудника, включая рекрутинг, собеседования и онбординг.",Общие затраты на рекрутинг / Количество нанятых сотрудников,$3000–$5000,Высокая стоимость может указывать на неэффективность процесса найма.,Peoplebox 2025,Peoplebox 2025
6. Персонал и поддержка,"Показывают устойчивость, результативность и развитие ИТ-команды.",16. Персонал (HR),Операционный,Текучесть кадров в ИТ,"Процент ИТ-сотрудников, покинувших организацию за год.",(Число уволившихся ИТ-специалистов / Средняя численность ИТ-персонала) × 100%,10–15%,"Высокая текучесть >20% сигнализирует о проблемах с мотивацией, культурой или условиями труда.",AIHR 2024,AIHR / Oakwood 2026
6. Персонал и поддержка,"Показывают устойчивость, результативность и развитие ИТ-команды.",16. Персонал (HR),Операционный,Удержание новых сотрудников в течение 90 дней,"Процент новых сотрудников, оставшихся в компании после первых 90 дней работы.","(Сотрудники, проработавшие >90 дней / Всего нанятых) × 100%",≥85%,Низкое удержание <75% указывает на проблемы с онбордингом или несоответствие ожиданий.,Oakwood 2026,Oakwood 2026
6. Персонал и поддержка,"Показывают устойчивость, результативность и развитие ИТ-команды.",17. Служба поддержки,Операционный,Время первого ответа на обращение,Среднее время от создания тикета до первого ответа специалиста поддержки.,Среднее (время первого ответа − время создания тикета),≤15 минут,Длительное время >30 минут ухудшает пользовательский опыт.,SysAid 2025,SysAid 2025
6. Персонал и поддержка,"Показывают устойчивость, результативность и развитие ИТ-команды.",17. Служба поддержки,Операционный,"Доля обращений, решённых с первого контакта","Процент тикетов, решённых при первом обращении без эскалации.","(Тикеты, решённые с первого обращения / Всего тикетов) × 100%",≥70%,Низкий показатель <60% указывает на недостаточную квалификацию первой линии.,FinModelsLab 2025,FinModelsLab 2025
6. Персонал и поддержка,"Показывают устойчивость, результативность и развитие ИТ-команды.",17. Служба поддержки,Операционный,Доля повторно открытых обращений,"Процент тикетов, открытых повторно после закрытия из-за неполного решения проблемы.",(Повторно открытые тикеты / Всего закрытых тикетов) × 100%,≤5%,Высокий процент >10% указывает на низкое качество решения инцидентов.,SMC Consulting 2025,SMC Consulting 2025
6. Персонал и поддержка,"Показывают устойчивость, результативность и развитие ИТ-команды.",17. Служба поддержки,Операционный,Доля эскалированных обращений,"Процент тикетов, переданных на более высокий уровень поддержки.",(Эскалированные тикеты / Всего тикетов) × 100%,≤15%,Высокая эскалация >25% означает слабую подготовку первой линии или сложность инцидентов.,PTS USA 2025,PTS USA 2025
6. Персонал и поддержка,"Показывают устойчивость, результативность и развитие ИТ-команды.",17. Служба поддержки,Операционный,Загруженность специалистов поддержки,"Процент рабочего времени специалистов, затраченного на решение тикетов.",(Время работы над тикетами / Общее рабочее время) × 100%,70–85%,Низкая утилизация <60% означает избыток ресурсов; >90% — риск выгорания.,FinModelsLab 2025,FinModelsLab 2025
6. Персонал и поддержка,"Показывают устойчивость, результативность и развитие ИТ-команды.",17. Служба поддержки,Финансовый,Стоимость обработки одного обращения,Полная себестоимость обработки одного обращения в поддержку.,Общие затраты на поддержку / Количество обработанных тикетов,$15–$25,Высокая стоимость >$30 означает неэффективность процесса поддержки.,PTS USA 2025,PTS USA 2025
6. Персонал и поддержка,"Показывают устойчивость, результативность и развитие ИТ-команды.",18. Проектное управление,Операционный,Доля дефектов в поставке,"Количество дефектов, обнаруженных после поставки, относительно объёма работ.",(Количество дефектов после релиза / Объём поставки) × 100%,<2%,Высокая доля >5% указывает на недостаточное тестирование или низкое качество разработки.,SoftwareFinder 2025,SoftwareFinder 2025
6. Персонал и поддержка,"Показывают устойчивость, результативность и развитие ИТ-команды.",18. Проектное управление,Операционный,"Доля проектов, завершённых в срок","Процент ИТ-проектов, завершённых в установленный срок без задержек.",(Проекты в срок / Всего проектов) × 100%,≥80%,Низкий показатель <70% указывает на проблемы планирования или управления рисками.,ProProfs 2025,ProProfs 2025
6. Персонал и поддержка,"Показывают устойчивость, результативность и развитие ИТ-команды.",18. Проектное управление,Операционный,Использование проектных ресурсов,"Процент времени проектных ресурсов, фактически используемого в проектах.",(Время работы в проектах / Доступное время ресурсов) × 100%,75–85%,Низкая утилизация <70% — неэффективное распределение; >90% — риск перегрузки.,SoftwareFinder 2025,SoftwareFinder 2025
6. Персонал и поддержка,"Показывают устойчивость, результативность и развитие ИТ-команды.",18. Проектное управление,Финансовый,Отклонение фактических расходов от бюджета проекта,Процентное отклонение фактических затрат проекта от запланированного бюджета.,|(Факт − План) / План| × 100%,≤10%,Превышение >15% требует пересмотра оценки или контроля изменений.,SoftwareFinder 2025,SoftwareFinder 2025
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",19. Информационная безопасность,Финансовый,Доля бюджета ИБ в ИТ-бюджете,"Процент общего ИТ-бюджета, направляемого на обеспечение информационной безопасности.",Бюджет ИБ / Общий ИТ-бюджет × 100%,10–15%,Доля <8% означает недофинансирование ИБ; >20% без роста зрелости — неэффективное расходование.,KPI Depot 2026,KPI Depot 2026
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",19. Информационная безопасность,Операционный,Доля переходов по фишинговым ссылкам,"Доля сотрудников, перешедших по ссылкам в симулированных фишинговых атаках.",(Кликнувшие сотрудники / Получившие письмо) × 100%,<5%,"Высокий показатель >15% — недостаточная осведомлённость сотрудников, риск реальной атаки.",Strobes / SecurityBoulevard 2025,SecurityBoulevard 2025
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",19. Информационная безопасность,Операционный,Доля устранённых критичных уязвимостей в срок,"Процент критичных уязвимостей, устранённых в течение установленного регламентом срока.",(Закрытые вовремя критичные уязвимости / Все критичные уязвимости) × 100%,≥95%,Низкий показатель <80% — прямой риск эксплуатации уязвимостей атакующими.,KPI Depot 2026,KPI Depot 2026
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",19. Информационная безопасность,Операционный,Количество инцидентов ИБ за период,Общее число зафиксированных инцидентов информационной безопасности за отчётный период.,Подсчёт инцидентов с разбивкой по критичности (P1–P4),<1 P1 в месяц; тренд снижения,Рост числа инцидентов — сигнал об ухудшении защищённости или расширении векторов атак.,SecurityScorecard 2026,SecurityScorecard 2026
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",19. Информационная безопасность,Операционный,Охват активов защитными средствами,"Доля ИТ-активов, охваченных средствами защиты: антивирус, EDR, мониторинг.",(Активы под защитой / Все активы) × 100%,≥99%,"Незащищённые активы — слепые зоны, в которых атаки остаются незамеченными.",UpGuard / KPI Depot 2026,UpGuard 2026
7. Информационная безопасность,"Показывают баланс между защитой, риском и скоростью изменений.",19. Информационная безопасность,Операционный,"Процент сотрудников, прошедших обучение по ИБ","Доля сотрудников, прошедших обязательное обучение по информационной безопасности в отчётном периоде.",(Прошедшие обучение / Все сотрудники) × 100%,≥95%,Низкий охват <85% увеличивает риск социальной инженерии и фишинга.,KPI Depot 2026,KPI Depot 2026
